"County","State","Outbreak Date","Flock Type","Flock Size"
"Fresno","California","11-14-2024","Commercial Turkey Meat Bird","39600"
"Weld","Colorado","11-14-2024","WOAH Non-Poultry","80"
"Fresno","California","11-14-2024","Commercial Broiler Production","259000"
"Fresno","California","11-14-2024","Commercial Turkey Meat Bird","17500"
"Jasper","Missouri","11-14-2023","Commercial Turkey Meat Bird","29300"
"Redwood","Minnesota","11-14-2023","Commercial Turkey Meat Bird","18700"
"Deschutes","Oregon","11-14-2023","WOAH Non-Poultry","30"
"Marion","Oregon","11-14-2023","WOAH Non-Poultry","5"
"Missoula","Montana","11-14-2023","WOAH Non-Poultry","4"
"Kossuth","Iowa","11-14-2023","WOAH Poultry","13000"
"Jones","Iowa","11-14-2023","WOAH Non-Poultry","20"
"Cerro Gordo","Iowa","11-14-2023","WOAH Non-Poultry","80"
"Ellis","Texas","11-14-2023","WOAH Non-Poultry","50"
"Kandiyohi","Minnesota","11-14-2023","Commercial Turkey Meat Bird","35600"
"Taylor","Iowa","11-14-2023","Commercial Table Egg Layer","1121100"
"Lowndes","Mississippi","11-14-2022","WOAH Non-Poultry","8"
"Malheur","Oregon","11-13-2024","WOAH Non-Poultry","8"
"Pinal","Arizona","11-13-2024","Commercial Table Egg Layer","829200"
"Montrose","Colorado","11-13-2023","WOAH Non-Poultry","50"
"Bonneville","Idaho","11-13-2023","WOAH Non-Poultry","50"
"Mcintosh","North Dakota","11-13-2023","WOAH Non-Poultry","50"
"Fresno","California","11-12-2024","Commercial Turkey Meat Bird","34800"
"Fresno","California","11-12-2024","Commercial Broiler Production","237700"
"Tulare","California","11-12-2024","WOAH Non-Poultry","120"
"Kern","California","11-12-2024","Commercial Table Egg Layer","2155100"
"Missoula","Montana","11-12-2024","WOAH Poultry","280"
"Piute","Utah","11-12-2024","Commercial Turkey Meat Bird","37500"
"Queens","New York","11-12-2022","Live Bird Market","170"
"Lehigh","Pennsylvania","11-10-2022","Commercial Turkey Breeder Toms","160"
"Lapeer","Michigan","11-10-2022","WOAH Poultry","990"
"Mountrail","North Dakota","11-10-2022","WOAH Non-Poultry","40"
"Ward","North Dakota","11-10-2022","WOAH Poultry","20"
"Lehigh","Pennsylvania","11-10-2022","Commercial Turkey Meat Bird","18500"
"Redwood","Minnesota","11-09-2023","Commercial Turkey Meat Bird","18500"
"Wheatland","Montana","11-09-2023","WOAH Poultry","4500"
"Sweet Grass","Montana","11-09-2023","WOAH Non-Poultry","3"
"Mcpherson","South Dakota","11-09-2023","Commercial Turkey Meat Bird","58400"
"Steele","Minnesota","11-09-2023","Commercial Turkey Meat Bird","46900"
"Roberts","South Dakota","11-09-2023","Commercial Turkey Meat Bird","51200"
"Clark","South Dakota","11-08-2023","Commercial Upland Gamebird Producer","8500"
"Utah","Utah","11-08-2023","WOAH Non-Poultry","60"
"Charles Mix","South Dakota","11-08-2023","Commercial Turkey Meat Bird","74100"
"Kossuth","Iowa","11-08-2023","WOAH Poultry","8200"
"Matanuska Susitna","Alaska","11-08-2023","WOAH Non-Poultry","40"
"Snohomish","Washington","11-08-2022","WOAH Non-Poultry","150"
"Lehigh","Pennsylvania","11-08-2022","Commercial Turkey Meat Bird","17400"
"Louisa","Iowa","11-08-2022","WOAH Non-Poultry","20"
"Lehigh","Pennsylvania","11-08-2022","Commercial Turkey Breeder Hens","7500"
"Snohomish","Washington","11-07-2024","WOAH Non-Poultry","170"
"Stearns","Minnesota","11-07-2023","Commercial Turkey Meat Bird","70900"
"Gloucester","Virginia","11-07-2022","WOAH Non-Poultry","80"
"Converse","Wyoming","11-07-2022","WOAH Non-Poultry","20"
"Jefferson","Wisconsin","11-07-2022","Commercial Upland Gamebird Producer","187900"
"Butler","Ohio","11-07-2022","WOAH Poultry","150"
"Hamilton","Iowa","11-06-2023","Commercial Breeder (Multiple Bird Species)","15000"
"Benton","Missouri","11-06-2023","Commercial Broiler Breeder","16600"
"Clay","Iowa","11-06-2023","WOAH Poultry","1700"
"Wright","Iowa","11-06-2022","Commercial Table Egg Layer","1022800"
"Lawrence","Mississippi","11-04-2022","Commercial Broiler Breeder","34400"
"Dauphin","Pennsylvania","11-04-2022","WOAH Non-Poultry","130"
"Sullivan","New York","11-04-2022","WOAH Non-Poultry","140"
"Lehigh","Pennsylvania","11-04-2022","Commercial Turkey Meat Bird","14500"
"Clay","Iowa","11-03-2023","WOAH Poultry","8300"
"Clay","Iowa","11-03-2023","WOAH Poultry","7700"
"Wright","Minnesota","11-03-2023","Commercial Table Egg Layer","940000"
"Mcpherson","South Dakota","11-03-2023","Commercial Turkey Breeder Hens","26800"
"Marathon","Wisconsin","11-03-2022","WOAH Non-Poultry","30"
"Yamhill","Oregon","11-03-2022","WOAH Poultry","150"
"Lehigh","Pennsylvania","11-03-2022","Commercial Turkey Meat Bird","28500"
"Middlesex","Massachusetts","11-03-2022","WOAH Non-Poultry","20"
"Bottineau","North Dakota","11-03-2022","WOAH Poultry","130"
"San Diego","California","11-03-2022","WOAH Poultry","150"
"Beaufort","South Carolina","11-03-2022","WOAH Non-Poultry","170"
"Yavapai","Arizona","11-03-2022","WOAH Non-Poultry","30"
"Broward","Florida","11-03-2022","WOAH Non-Poultry","70"
"Sonoma","California","11-02-2024","WOAH Non-Poultry","30"
"Sacramento","California","11-02-2024","Commercial Turkey Meat Bird","48300"
"Marshall","Alabama","11-02-2023","Commercial Broiler Breeder Pullets","47900"
"Grady","Oklahoma","11-02-2023","WOAH Non-Poultry","120"
"Bergen","New Jersey","11-02-2022","WOAH Non-Poultry","60"
"Allegheny","Pennsylvania","11-02-2022","WOAH Non-Poultry","20"
"Waukesha","Wisconsin","11-02-2022","WOAH Non-Poultry","10"
"Yavapai","Arizona","11-02-2022","WOAH Non-Poultry","50"
"Okanogan","Washington","11-01-2024","WOAH Non-Poultry","20"
"Jackson","Oregon","11-01-2024","WOAH Non-Poultry","60"
"Flathead","Montana","11-01-2024","WOAH Non-Poultry","40"
"Stevens","Washington","11-01-2024","WOAH Non-Poultry","130"
"Buena Vista","Iowa","11-01-2023","Commercial Turkey Meat Bird","30000"
"Granite","Montana","11-01-2022","WOAH Poultry","40"
"Stearns","Minnesota","11-01-2022","Commercial Turkey Meat Bird","8500"
"Wayne","New York","11-01-2022","WOAH Non-Poultry","10"
"Deschutes","Oregon","11-01-2022","WOAH Non-Poultry","8"
"Gregory","South Dakota","11-01-2022","Commercial Upland Gamebird Producer","3000"
"Beadle","South Dakota","10-31-2023","Commercial Turkey Meat Bird","29700"
"Lincoln","Tennessee","10-31-2023","WOAH Non-Poultry","100"
"Madison","Arkansas","10-31-2023","Commercial Broiler Breeder Pullets","31600"
"Wagoner","Oklahoma","10-31-2023","WOAH Non-Poultry","50"
"Meeker","Minnesota","10-31-2023","Commercial Turkey Meat Bird","32100"
"Wright","Iowa","10-31-2022","Commercial Table Egg Layer","1100000"
"Swift","Minnesota","10-31-2022","Commercial Turkey Meat Bird","45600"
"Tipton","Tennessee","10-31-2022","WOAH Non-Poultry","90"
"Venango","Pennsylvania","10-30-2024","WOAH Non-Poultry","20"
"Kings","California","10-30-2024","Commercial Broiler Production","117200"
"Fresno","California","10-30-2024","Commercial Broiler Production","204600"
"Tulare","California","10-29-2024","WOAH Non-Poultry","10"
"Kings","California","10-29-2024","Commercial Broiler Production","305500"
"Kings","California","10-29-2024","Commercial Broiler Production","104500"
"Matanuska Susitna","Alaska","10-28-2023","WOAH Non-Poultry","50"
"Matanuska Susitna","Alaska","10-28-2023","WOAH Non-Poultry","30"
"Hillsborough","Florida","10-28-2022","WOAH Non-Poultry","40"
"Chilton","Alabama","10-27-2023","Commercial Upland Gamebird Producer","306500"
"Kittitas","Washington","10-27-2023","WOAH Poultry","70"
"Stearns","Minnesota","10-27-2022","Commercial Turkey Meat Bird","75000"
"Le Sueur","Minnesota","10-27-2022","Commercial Turkey Meat Bird","20100"
"Merced","California","10-26-2023","Commercial Turkey Meat Bird","31600"
"La Plata","Colorado","10-26-2022","WOAH Non-Poultry","20"
"Pasco","Florida","10-26-2022","WOAH Non-Poultry","40"
"Crook","Oregon","10-25-2024","WOAH Non-Poultry","180"
"Lewis","Washington","10-25-2024","WOAH Non-Poultry","60"
"Beadle","South Dakota","10-25-2023","Commercial Turkey Meat Bird","51100"
"Clark","South Dakota","10-25-2023","Commercial Turkey Meat Bird","31100"
"Meeker","Minnesota","10-25-2023","Commercial Turkey Meat Bird","33000"
"Hanson","South Dakota","10-25-2023","Commercial Turkey Meat Bird","13400"
"Brown","Minnesota","10-25-2023","WOAH Non-Poultry","20"
"Union","Oregon","10-25-2023","WOAH Non-Poultry","30"
"Pine","Minnesota","10-25-2023","WOAH Non-Poultry","30"
"Swift","Minnesota","10-25-2022","Commercial Turkey Meat Bird","33800"
"Lake","Florida","10-25-2022","WOAH Non-Poultry","9"
"Sanpete","Utah","10-25-2022","Commercial Turkey Meat Bird","3900"
"Indian River","Florida","10-25-2022","WOAH Non-Poultry","30"
"Indian River","Florida","10-25-2022","WOAH Poultry","50"
"Martin","Florida","10-25-2022","WOAH Non-Poultry","30"
"Grant","South Dakota","10-25-2022","WOAH Non-Poultry","50"
"Tulare","California","10-24-2024","Commercial Broiler Production","6000"
"Guthrie","Iowa","10-24-2023","WOAH Non-Poultry","50"
"Kandiyohi","Minnesota","10-24-2023","Commercial Turkey Meat Bird","53700"
"Pocahontas","Iowa","10-24-2023","Commercial Turkey Meat Bird","50000"
"Blue Earth","Minnesota","10-24-2023","Commercial Turkey Meat Bird","11900"
"Clackamas","Oregon","10-23-2024","Commercial Table Egg Layer","150000"
"Buena Vista","Iowa","10-23-2023","Commercial Turkey Meat Bird","49100"
"Southampton","Virginia","10-22-2022","WOAH Non-Poultry","170"
"Ocean","New Jersey","10-22-2022","WOAH Non-Poultry","90"
"Itasca","Minnesota","10-21-2022","WOAH Non-Poultry","40"
"Cleveland","Oklahoma","10-21-2022","WOAH Non-Poultry","30"
"Wake","North Carolina","10-21-2022","WOAH Non-Poultry","170"
"Union","Oregon","10-20-2023","WOAH Poultry","100"
"Newport","Rhode Island","10-20-2022","WOAH Non-Poultry","60"
"Hill","Montana","10-20-2022","WOAH Non-Poultry","60"
"Dallas","Iowa","10-20-2022","WOAH Non-Poultry","50"
"Virginia Beach City","Virginia","10-20-2022","WOAH Non-Poultry","10"
"Okeechobee","Florida","10-20-2022","WOAH Non-Poultry","2"
"Creek","Oklahoma","10-20-2022","WOAH Non-Poultry","50"
"Valley","Idaho","10-20-2022","WOAH Non-Poultry","20"
"Spink","South Dakota","10-20-2022","WOAH Non-Poultry","160"
"Indian River","Florida","10-20-2022","WOAH Non-Poultry","60"
"Jefferson","Colorado","10-20-2022","WOAH Poultry","50"
"Park","Montana","10-19-2023","WOAH Non-Poultry","3"
"Spink","South Dakota","10-19-2023","Commercial Turkey Meat Bird","34000"
"Becker","Minnesota","10-19-2023","Commercial Breeder Operation","20200"
"Sanpete","Utah","10-19-2022","Commercial Turkey Meat Bird","9400"
"Roberts","South Dakota","10-19-2022","Commercial Breeder Operation","3600"
"Shawnee","Kansas","10-19-2022","WOAH Poultry","120"
"Rockwall","Texas","10-19-2022","WOAH Non-Poultry","50"
"Redwood","Minnesota","10-18-2023","Commercial Turkey Meat Bird","8900"
"Blue Earth","Minnesota","10-18-2023","Commercial Turkey Meat Bird","11500"
"Indian River","Florida","10-18-2022","WOAH Non-Poultry","300"
"Jackson","Missouri","10-18-2022","WOAH Non-Poultry","40"
"Osceola","Florida","10-18-2022","WOAH Non-Poultry","20"
"Sanpete","Utah","10-18-2022","Commercial Turkey Meat Bird","100800"
"Traill","North Dakota","10-18-2022","WOAH Non-Poultry","90"
"St. Lucie","Florida","10-18-2022","WOAH Non-Poultry","6"
"York","Nebraska","10-18-2022","Commercial Upland Gamebird Producer","34900"
"Kitsap","Washington","10-17-2024","WOAH Non-Poultry","60"
"Faulk","South Dakota","10-17-2023","Commercial Turkey Meat Bird","49700"
"Becker","Minnesota","10-17-2023","Commercial Turkey Breeder Toms","2700"
"King","Washington","10-17-2023","WOAH Non-Poultry","10"
"Mcpherson","South Dakota","10-17-2023","Commercial Turkey Meat Bird","65000"
"Adams","Pennsylvania","10-17-2022","Commercial Turkey Meat Bird","15100"
"Nye","Nevada","10-17-2022","WOAH Poultry","1600"
"Tulare","California","10-16-2024","Commercial Broiler Production","786600"
"Carter","Oklahoma","10-16-2023","WOAH Non-Poultry","80"
"Franklin","Washington","10-15-2024","Commercial Table Egg Layer","839700"
"Cache","Utah","10-15-2024","Commercial Table Egg Layer","1852900"
"Matanuska Susitna","Alaska","10-14-2022","WOAH Poultry","1000"
"Tulsa","Oklahoma","10-14-2022","WOAH Non-Poultry","30"
"La Plata","Colorado","10-14-2022","WOAH Non-Poultry","40"
"Pope","Arkansas","10-14-2022","WOAH Non-Poultry","470"
"Larimer","Colorado","10-14-2022","WOAH Non-Poultry","20"
"Broward","Florida","10-14-2022","WOAH Poultry","300"
"Flathead","Montana","10-13-2023","WOAH Non-Poultry","8"
"Golden Valley","North Dakota","10-13-2023","WOAH Non-Poultry","90"
"Meeker","Minnesota","10-13-2023","Commercial Turkey Meat Bird","71000"
"Sanpete","Utah","10-13-2022","Commercial Turkey Meat Bird","100000"
"Saint Croix","Wisconsin","10-13-2022","WOAH Non-Poultry","20"
"Stanislaus","California","10-13-2022","Commercial Turkey Meat Bird","54900"
"Warren","New Jersey","10-13-2022","WOAH Non-Poultry","6"
"Williams","North Dakota","10-12-2023","WOAH Non-Poultry","10"
"Weld","Colorado","10-12-2023","WOAH Non-Poultry","30"
"Sanpete","Utah","10-12-2022","Commercial Turkey Meat Bird","52800"
"Fremont","Wyoming","10-12-2022","WOAH Non-Poultry","30"
"Beadle","South Dakota","10-12-2022","Commercial Turkey Meat Bird","71400"
"Genesee","Michigan","10-12-2022","WOAH Non-Poultry","20"
"Hamlin","South Dakota","10-12-2022","WOAH Non-Poultry","20"
"Weld","Colorado","10-12-2022","WOAH Non-Poultry","40"
"Meeker","Minnesota","10-11-2023","Commercial Turkey Meat Bird","115000"
"Lapeer","Michigan","10-11-2022","WOAH Poultry","40"
"Adams","Pennsylvania","10-11-2022","WOAH Poultry","2800"
"Logan","Kentucky","10-11-2022","WOAH Non-Poultry","190"
"Martin","Florida","10-11-2022","WOAH Non-Poultry","50"
"Broward","Florida","10-11-2022","WOAH Non-Poultry","40"
"Gregory","South Dakota","10-11-2022","Commercial Upland Gamebird Producer","200"
"Glacier","Montana","10-10-2023","WOAH Poultry","77100"
"Miami-dade","Florida","10-07-2024","Live Bird Sales  (non-slaughter)","70"
"Sanpete","Utah","10-07-2022","Commercial Turkey Meat Bird","38900"
"Boulder","Colorado","10-07-2022","WOAH Poultry","600"
"Madison","Arkansas","10-07-2022","Commercial Broiler Breeder Pullets","56000"
"Sanpete","Utah","10-07-2022","Commercial Turkey Meat Bird","26700"
"Neosho","Kansas","10-07-2022","WOAH Poultry","2000"
"Lapeer","Michigan","10-07-2022","WOAH Poultry","100"
"Johnson","Kansas","10-07-2022","WOAH Poultry","6"
"Pope","Minnesota","10-07-2022","WOAH Non-Poultry","30"
"Sanpete","Utah","10-06-2023","Commercial Turkey Meat Bird","134200"
"Sanpete","Utah","10-06-2023","Commercial Turkey Meat Bird","7600"
"Hampton City","Virginia","10-06-2022","WOAH Non-Poultry","40"
"Fayette","Kentucky","10-06-2022","WOAH Poultry","150"
"Brule","South Dakota","10-06-2022","Commercial Upland Gamebird Producer","500"
"Matanuska Susitna","Alaska","10-05-2022","WOAH Poultry","10"
"Monroe","Pennsylvania","10-05-2022","WOAH Non-Poultry","40"
"Matanuska Susitna","Alaska","10-05-2022","WOAH Non-Poultry","40"
"New Haven","Connecticut","10-05-2022","WOAH Non-Poultry","50"
"Berks","Pennsylvania","10-05-2022","WOAH Non-Poultry","10"
"Glacier","Montana","10-05-2022","WOAH Non-Poultry","1100"
"Jerauld","South Dakota","10-04-2023","Commercial Turkey Meat Bird","47300"
"Del Norte","California","10-04-2022","WOAH Poultry","43000"
"Box Butte","Nebraska","10-04-2022","WOAH Non-Poultry","100"
"York","Nebraska","10-04-2022","Commercial Upland Gamebird Producer","139500"
"Westmoreland","Pennsylvania","10-04-2022","WOAH Non-Poultry","160"
"Monterey","California","10-04-2022","Commercial Duck Breeder","15100"
"Bernalillo","New Mexico","10-04-2022","WOAH Non-Poultry","40"
"Canyon","Idaho","10-03-2024","WOAH Poultry","100"
"Canyon","Idaho","10-03-2023","WOAH Non-Poultry","70"
"Calaveras","California","10-03-2022","WOAH Non-Poultry","20"
"Cache","Utah","10-03-2022","WOAH Non-Poultry","320"
"Portage","Ohio","10-03-2022","WOAH Non-Poultry","50"
"Stanislaus","California","10-03-2022","Commercial Turkey Meat Bird","51000"
"Tuscola","Michigan","10-03-2022","WOAH Poultry","140"
"Douglas","Oregon","09-30-2022","WOAH Non-Poultry","30"
"Nelson","North Dakota","09-30-2022","WOAH Non-Poultry","50"
"Sanpete","Utah","09-29-2022","Commercial Turkey Meat Bird","19300"
"York","Pennsylvania","09-29-2022","Commercial Turkey Meat Bird","25900"
"Lancaster","Pennsylvania","09-29-2022","WOAH Non-Poultry","180"
"Dunn","Wisconsin","09-29-2022","Commercial Turkey Meat Bird","79500"
"Mesa","Colorado","09-29-2022","WOAH Non-Poultry","40"
"Sanpete","Utah","09-29-2022","Commercial Turkey Meat Bird","19900"
"Sanpete","Utah","09-28-2022","Commercial Turkey Meat Bird","24400"
"Racine","Wisconsin","09-28-2022","Commercial Duck Meat Bird","10000"
"Tillamook","Oregon","09-28-2022","WOAH Non-Poultry","10"
"Tillamook","Oregon","09-28-2022","WOAH Non-Poultry","40"
"Lincoln","Idaho","09-27-2024","WOAH Poultry","700"
"Ransom","North Dakota","09-27-2022","Commercial Turkey Meat Bird","69100"
"Sanpete","Utah","09-27-2022","Commercial Turkey Meat Bird","36700"
"Sanpete","Utah","09-27-2022","Commercial Turkey Meat Bird","127200"
"Goodhue","Minnesota","09-27-2022","WOAH Non-Poultry","80"
"Mcpherson","South Dakota","09-24-2022","Commercial Turkey Meat Bird","56900"
"Dallas","Texas","09-24-2022","WOAH Non-Poultry","60"
"Kent","Delaware","09-24-2022","WOAH Non-Poultry","30"
"Kent","Delaware","09-24-2022","WOAH Non-Poultry","10"
"Merrimack","New Hampshire","09-23-2022","WOAH Poultry","250"
"Anne Arundel","Maryland","09-22-2022","WOAH Non-Poultry","4"
"Ward","North Dakota","09-22-2022","WOAH Poultry","60"
"Kingsbury","South Dakota","09-22-2022","WOAH Non-Poultry","250"
"Todd","Minnesota","09-22-2022","WOAH Non-Poultry","50"
"Weld","Colorado","09-21-2022","Commercial Table Egg Layer","1150000"
"Gooding","Idaho","09-21-2022","Commercial Upland Gamebird Producer","9000"
"Roseau","Minnesota","09-21-2022","Commercial Turkey Meat Bird","116000"
"Otter Tail","Minnesota","09-21-2022","Commercial Turkey Meat Bird","5900"
"Sanpete","Utah","09-21-2022","Commercial Turkey Meat Bird","11100"
"Washington","Pennsylvania","09-20-2022","WOAH Poultry","1800"
"Brown","Minnesota","09-20-2022","Commercial Turkey Meat Bird","43000"
"Stearns","Minnesota","09-20-2022","Commercial Turkey Meat Bird","64600"
"Clark","South Dakota","09-20-2022","Commercial Turkey Meat Bird","41700"
"Sanpete","Utah","09-20-2022","Commercial Turkey Meat Bird","73200"
"Fresno","California","09-20-2022","WOAH Non-Poultry","100"
"Clark","South Dakota","09-20-2022","Commercial Turkey Meat Bird","23900"
"Macomb","Michigan","09-19-2022","WOAH Non-Poultry","40"
"Dawes","Nebraska","09-19-2022","WOAH Non-Poultry","40"
"Orange","Florida","09-18-2024","Live Bird Market","2500"
"Merced","California","09-18-2024","Commercial Turkey Meat Bird","64800"
"Pierce","Washington","09-16-2022","WOAH Non-Poultry","30"
"Union","New Jersey","09-15-2023","Live Bird Market","520"
"Fresno","California","09-15-2022","Commercial Broiler Breeder","15900"
"Teton","Montana","09-15-2022","WOAH Poultry","2800"
"Bristol","Massachusetts","09-15-2022","WOAH Non-Poultry","50"
"Summit","Ohio","09-15-2022","WOAH Non-Poultry","6"
"Obion","Tennessee","09-15-2022","WOAH Poultry","130"
"Allen","Ohio","09-14-2022","WOAH Non-Poultry","2"
"Isanti","Minnesota","09-14-2022","WOAH Non-Poultry","4"
"Otter Tail","Minnesota","09-14-2022","Commercial Turkey Breeder Hens","7900"
"Meeker","Minnesota","09-14-2022","Commercial Turkey Meat Bird","61400"
"Williams","Ohio","09-14-2022","WOAH Non-Poultry","60"
"Sanpete","Utah","09-13-2022","Commercial Turkey Meat Bird","5800"
"Ingham","Michigan","09-13-2022","WOAH Poultry","20"
"Freeborn","Minnesota","09-13-2022","WOAH Non-Poultry","320"
"Stearns","Minnesota","09-13-2022","Commercial Turkey Meat Bird","69400"
"Brown","Minnesota","09-13-2022","Commercial Turkey Meat Bird","43700"
"Twin Falls","Idaho","09-12-2022","WOAH Non-Poultry","40"
"Becker","Minnesota","09-09-2022","Commercial Turkey Breeder Hens","17100"
"El Dorado","California","09-09-2022","WOAH Non-Poultry","150"
"Fresno","California","09-09-2022","Commercial Broiler Breeder","23900"
"Meeker","Minnesota","09-08-2022","Commercial Turkey Meat Bird","34200"
"Morrison","Minnesota","09-07-2022","Commercial Turkey Meat Bird","50200"
"Defiance","Ohio","09-03-2022","Commercial Table Egg Layer","3748500"
"Ashland","Ohio","09-03-2022","WOAH Non-Poultry","640"
"Washington","Wisconsin","09-02-2022","WOAH Poultry","120"
"Elkhart","Indiana","09-01-2022","WOAH Poultry","260"
"Fresno","California","09-01-2022","Commercial Broiler Breeder","22900"
"Hennepin","Minnesota","09-01-2022","WOAH Non-Poultry","10"
"Cass","North Dakota","09-01-2022","WOAH Non-Poultry","6"
"Tuolumne","California","09-01-2022","Commercial Turkey Meat Bird","30800"
"Sacramento","California","09-01-2022","WOAH Non-Poultry","20"
"Tuolumne","California","08-30-2022","Commercial Turkey Meat Bird","91000"
"Tuolumne","California","08-30-2022","Commercial Turkey Meat Bird","7400"
"Meeker","Minnesota","08-30-2022","Commercial Turkey Meat Bird","126400"
"Meeker","Minnesota","08-30-2022","Commercial Turkey Meat Bird","52000"
"Sacramento","California","08-30-2022","Commercial Turkey Meat Bird","97000"
"Caroline","Virginia","08-29-2022","WOAH Non-Poultry","110"
"Fresno","California","08-26-2022","Commercial Broiler Breeder","34800"
"Cowlitz","Washington","08-26-2022","WOAH Non-Poultry","20"
"Tuolumne","California","08-26-2022","Commercial Turkey Meat Bird","161700"
"Pierce","Washington","08-25-2022","WOAH Non-Poultry","70"
"Weber","Utah","08-24-2022","WOAH Non-Poultry","20"
"Contra Costa","California","08-23-2022","WOAH Non-Poultry","60"
"Fresno","California","08-22-2022","Commercial Broiler Breeder","33900"
"Henry","Georgia","08-22-2022","WOAH Non-Poultry","80"
"Hillsborough","Florida","08-20-2024","Live Bird Market","880"
"Kitsap","Washington","08-19-2022","WOAH Non-Poultry","10"
"Walla Walla","Washington","08-18-2022","WOAH Non-Poultry","2"
"Butte","California","08-16-2022","WOAH Non-Poultry","1100"
"Osceola","Florida","08-16-2022","WOAH Non-Poultry","10"
"Northampton","Pennsylvania","08-11-2022","WOAH Poultry","90"
"Sacramento","California","08-10-2022","WOAH Non-Poultry","40"
"Miami-dade","Florida","08-05-2024","WOAH Poultry","5400"
"Kings","New York","08-03-2023","Live Bird Market","800"
"Bethel","Alaska","08-02-2022","WOAH Non-Poultry","20"
"Kings","New York","07-28-2023","Live Bird Market","490"
"Coos","Oregon","07-28-2022","WOAH Non-Poultry","20"
"Flathead","Montana","07-26-2022","WOAH Non-Poultry","7"
"Sanpete","Utah","07-26-2022","Commercial Turkey Meat Bird","12700"
"Jefferson","Washington","07-26-2022","WOAH Non-Poultry","80"
"Kings","New York","07-25-2023","Live Bird Market","570"
"Hendry","Florida","07-24-2024","WOAH Non-Poultry","5"
"Deschutes","Oregon","07-22-2022","WOAH Non-Poultry","120"
"Deschutes","Oregon","07-22-2022","WOAH Non-Poultry","90"
"Deschutes","Oregon","07-21-2022","WOAH Poultry","60"
"Seminole","Florida","07-21-2022","WOAH Non-Poultry","160"
"Weld","Colorado","07-19-2024","Commercial Table Egg Pullets","300800"
"Miami-dade","Florida","07-19-2024","Live Bird Market","320"
"Miami-dade","Florida","07-19-2024","Live Bird Market","390"
"Miami-dade","Florida","07-19-2024","Live Bird Market","80"
"Sanpete","Utah","07-19-2022","Commercial Turkey Meat Bird","23300"
"Snohomish","Washington","07-19-2022","WOAH Poultry","340"
"Deschutes","Oregon","07-19-2022","WOAH Poultry","100"
"Weld","Colorado","07-16-2024","Commercial Table Egg Layer","1313800"
"Deschutes","Oregon","07-15-2022","WOAH Poultry","60"
"Sanpete","Utah","07-14-2022","Commercial Turkey Meat Bird","15500"
"Deschutes","Oregon","07-12-2022","WOAH Poultry","100"
"Twin Falls","Idaho","07-11-2024","WOAH Non-Poultry","30"
"Kandiyohi","Minnesota","07-09-2024","Commercial Turkey Breeder Hens","21900"
"Renville","Minnesota","07-09-2024","Commercial Turkey Breeder Hens","15400"
"Kandiyohi","Minnesota","07-09-2024","Commercial Turkey Breeder Toms","4200"
"Weld","Colorado","07-08-2024","Commercial Table Egg Layer","1790800"
"Carson City","Nevada","07-07-2022","WOAH Non-Poultry","40"
"Linn","Oregon","07-06-2022","WOAH Non-Poultry","40"
"Jefferson","Washington","07-06-2022","WOAH Non-Poultry","20"
"King","Washington","07-01-2022","WOAH Poultry","220"
"Salt Lake","Utah","07-01-2022","WOAH Non-Poultry","20"
"Kitsap","Washington","07-01-2022","WOAH Non-Poultry","6"
"Yakima","Washington","06-29-2022","WOAH Non-Poultry","6"
"Cumberland","Maine","06-29-2022","WOAH Non-Poultry","20"
"Swift","Minnesota","06-27-2024","Commercial Turkey Meat Bird","25300"
"Morgan","Colorado","06-27-2024","WOAH Non-Poultry","40"
"Otter Tail","Minnesota","06-27-2024","Commercial Turkey Meat Bird","67400"
"Larimer","Colorado","06-26-2024","WOAH Non-Poultry","10"
"Stearns","Minnesota","06-24-2024","WOAH Non-Poultry","310"
"Pierce","Washington","06-24-2022","WOAH Non-Poultry","50"
"Yakima","Washington","06-22-2022","WOAH Non-Poultry","90"
"Snohomish","Washington","06-22-2022","WOAH Non-Poultry","200"
"King","Washington","06-22-2022","WOAH Non-Poultry","9"
"King","Washington","06-22-2022","WOAH Non-Poultry","3"
"Sac","Iowa","06-21-2024","Commercial Turkey Meat Bird","46100"
"Swift","Minnesota","06-18-2024","Commercial Turkey Meat Bird","113600"
"Pipestone","Minnesota","06-18-2024","Commercial Turkey Meat Bird","70800"
"Yakima","Washington","06-14-2022","WOAH Non-Poultry","30"
"Stearns","Minnesota","06-13-2024","Commercial Turkey Meat Bird","32900"
"Salt Lake","Utah","06-13-2022","WOAH Non-Poultry","70"
"Lyon","Minnesota","06-12-2024","Commercial Turkey Meat Bird","89500"
"Jerome","Idaho","06-10-2024","WOAH Non-Poultry","30"
"Yakima","Washington","06-09-2022","WOAH Non-Poultry","70"
"Snohomish","Washington","06-09-2022","WOAH Non-Poultry","9"
"Weld","Colorado","06-09-2022","Commercial Table Egg Pullets","205000"
"Allen","Indiana","06-09-2022","WOAH Non-Poultry","40"
"Snohomish","Washington","06-09-2022","WOAH Non-Poultry","30"
"Polk","Oregon","06-08-2022","WOAH Non-Poultry","90"
"King","Washington","06-07-2022","WOAH Poultry","50"
"Allen","Indiana","06-07-2022","WOAH Poultry","110"
"Weld","Colorado","06-07-2022","Commercial Table Egg Layer","1936800"
"Mchenry","North Dakota","06-06-2022","WOAH Poultry","30"
"Cherokee","Iowa","06-03-2024","Commercial Turkey Meat Bird","100000"
"Snohomish","Washington","06-02-2022","WOAH Non-Poultry","30"
